abk	Abkhaz
acm	Iraqi Arabic
ady	Adyghe
afb	Arabic (Gulf)
afh	Afrihili
afr	Afrikaans
aii	Assyrian Neo-Aramaic
ain	Ainu
alt	Southern Altai
amh	Amharic
ang	Old English
apc	North Levantine Arabic
ara	Arabi
ara	Arabic
arg	Aragonese
arq	Algerian Arabic
ary	Moroccan Arabic
arz	Egyptian Arabic
asm	Assamese
ast	Asturian
avk	Kotava
awa	Awadhi
aym	Aymara
aze	Azerbaijani
bak	Bashkir
bam	Bambara
ban	Balinese
bar	Bavarian
bcl	Bikol (Central)
bel	Belarusian
ben	Bengali
ber	Berber
bho	Bhojpuri
bjn	Banjar
bod	Tibetan
bos	Bosnian
bre	Breton
brx	Bodo
bua	Buryat
bul	Bulgarian
bvy	Baybayanon
cat	Catalan
cbk	Chavacano
ceb	Cebuano
ces	Czech
cha	Chamorro
che	Chechen
cho	Choctaw
chr	Cherokee
chv	Chuvash
cjy	Chinese (Jin)
ckt	Chukchi
cmn	Chinese (Mandarin)
cmo	Mnongg Central
cor	Cornish
cos	Corsican
crh	Crimean Tatar
crs	Seychellois Creole
csb	Kashubian
cyc	gCycL
cym	Welsh
cyo	Cuyonon
dan	Danish
deu	German
dng	Dungan
dsb	Lower Sorbian
dtp	Central Dusun
dws	Dutton World Speedwords
egl	Emilian
ell	Greek
eng	English
enm	Middle English
epo	Esperanto
est	Estonian
eus	Basque
ewe	Ewe
ext	Extremaduran
fao	Faroese
fij	Fijian
fin	Finnish
fra	French
frm	Middle French
fry	Frisian
fuc	Pulaar
fur	Friulian
fuv	Nigerian Fulfulde
gag	Gagauz
gan	Gan Chinese
gbm	Garhwali
gil	Gilbertese
gla	Scottish Gaelic
gle	Irish
glg	Galician
glv	Manx
got	Gothic
grc	Ancient Greek
grn	Guarani
gsw	Swiss German
guj	Gujarati
hak	Hakka Chinese
hat	Haitian Creole
hau	Hausa
haw	Hawaiian
heb	Hebrew
hif	Fiji Hindi
hil	Hiligaynon
hin	Hindi
hnj	Hmong Njua (Green)
hoc	Ho
hrv	Croatian
hsb	Upper Sorbian
hsn	Xiang Chinese
hun	Hungarian
hye	Armenian
iba	Iban
ibo	Igbo
ido	Ido
ile	Interlingue
ilo	Ilocano
ina	Interlingua
ind	Indonesian
isl	Icelandic
ita	Italian
izh	Ingrian
jam	Jamaican Patois
jav	Javanese
jbo	Lojban
jdt	Juhuri (Judeo-Tat)
jpn	Japanese
kaa	Karakalpak
kal	Greenlandic
kam	Kamba
kan	Kannada
kat	Georgian
kaz	Kazakh
kek	Kekchi (Qgeqchi')")
kha	Khasi
khm	Khmer
kin	Kinyarwanda
kir	Kyrgyz
kjh	Khakas
kor	Korean
